WBS_Code,Task_Name,Description,Estimated_Effort_Hours,Prerequisites,Deliverables
1.0,Project Initiation and Environment Setup,"Define prototype scope, success metrics (e.g., identity resolution precision@K > 0.85, clustering silhouette > 0.6), select tech stack (Python 3.12, sentence-transformers, CLIP/ViT, FAISS/Pinecone, scikit-learn/DEC), provision secure compute environment with GPU access and data access controls.",16,"None","Approved project charter, conda environment, access to customer transaction dataset"
1.1,Define Evaluation Framework,"Establish ground-truth labels from known customers (multiple purchases per identity), select metrics (pairwise cosine match accuracy, cluster purity, ARI, business KPIs like resolution lift), design ablation studies for unimodal vs. cross-modal embeddings.",12,"1.0","Evaluation plan document with metric definitions and baseline targets"
2.0,Data Acquisition and Preparation,"Extract subset of real customer data: select N known customers (e.g., 5,000–10,000) with >=3 purchases each, pull product title, description, image URLs, transaction timestamps, amounts; perform anonymization (hash customer IDs, remove PII).",40,"1.1","Anonymized transaction dataframe (Parquet) with product metadata and ground-truth customer labels"
2.1,Product Metadata Ingestion,"Download and store product images (handle rate limits, deduplication); clean title/description text (remove boilerplate, normalize brands/categories).",24,"2.0","Cleaned product catalog table linked to transactions"
2.2,Data Quality Assurance,"Run EDA on purchase distributions, modality coverage (title/desc/image completeness), detect outliers or cold-start customers; impute missing images with placeholders if needed.",16,"2.1","Data quality report (Jupyter notebook) with summary statistics and cleaning scripts"
3.0,Train/Test Split Construction,"Split data at customer level: 70% train (full history for embedding training/fine-tuning), 30% test (hold-out purchases for resolution evaluation); create synthetic anonymous sessions for test set to simulate identity resolution task.",20,"2.2","train_transactions.parquet, test_transactions.parquet with stratified customer split"
3.1,Validation Set Creation,"Reserve 10% of train as validation for hyperparameter tuning (e.g., embedding dimensionality, fusion weights).",8,"3.0","validation_transactions.parquet"
4.0,Unimodal Embedding Generation,"Implement and compute embeddings: Sentence-BERT for titles, longer BERT variant for descriptions; ViT/CLIP-ViT for images; cache embeddings in vector store.",48,"3.1","Unimodal embedding matrices (title.npy, desc.npy, image.npy) for train/test products"
4.1,Cross-Modal Fusion Implementation,"Build late-fusion (concat + projection MLP), early-fusion (CLIP-style contrastive alignment), and bilinear cross-attention modules; train/fine-tune on product self-supervised pairs using InfoNCE loss.",64,"4.0","Fused embedding generator scripts and pre-computed cross-modal vectors (fused_*.npy)"
5.0,Customer Profile Aggregation,"Aggregate product embeddings per customer: mean-pooling, recency-weighted, or transformer-based sequence encoder; produce customer-level vectors for train and test sets.",32,"4.1","customer_embedding_train.npy, customer_embedding_test.npy with ground-truth labels"
5.1,Aggregation Ablation,"Experiment with simple mean vs. attention-weighted vs. basket-level hierarchical pooling; log variance explained by each method.",16,"5.0","Ablation results table in notebook"
6.0,Identity Resolution Modeling,"Implement cosine-similarity nearest-neighbor matching (FAISS index) for linking anonymous test purchases to known customer vectors; set similarity thresholds via validation.",24,"5.1","Resolution pipeline script returning matched customer IDs"
6.1,Clustering Implementation,"Apply neural clustering: Deep Embedded Clustering (DEC), variational autoencoder + GMM, baseline k-means/DBSCAN on customer embeddings; tune cluster count via elbow/silhouette.",40,"6.0","Clustered customer assignments (labels) and centroid vectors"
6.2,Heuristic Baselines,"Build rule-based heuristics (e.g., Jaccard on product categories, TF-IDF bag-of-words) for comparison against embedding approaches.",16,"6.1","Baseline matching results for ablation"
7.0,Evaluation and Analysis,"Compute metrics: precision/recall/F1 for identity resolution, internal clustering metrics, qualitative inspection of clusters vs. spending patterns; run statistical significance tests across embedding strategies.",32,"6.2","Evaluation report notebook with tables, ROC curves, and cluster visualizations"
7.1,Error Analysis,"Identify failure modes (e.g., cold-start, modality imbalance) and quantify impact of cross-embeddings on performance lift.",16,"7.0","Error analysis section with examples and mitigation recommendations"
8.0,Documentation and Handoff,"Compile reproducible code repository, prototype results summary, next-step recommendations for production scaling (e.g., online updates, vector DB deployment).",24,"7.1","Final prototype Git repo, executive summary slide deck, and research phase report (PDF)"
Total,,,"376","","End-to-end prototype validated on real customer data with quantitative comparison of embedding strategies"
